PID,Naphids,Thujene,Pinene,Camphene,Sabinene,Terpinene.alpha,oCymene,Limonene,Terpinene.gamma,Thujone,Eucaliptol,Terpineol.beta,SabineneHydrate,L.Camphor,Terpineol4,Terpineol,Dihydrocarvone,Copaene,Caryophyllene,Cubebene,Amorphene,GermacreneD,Sesquiphellandrene
P1,1,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P3,1,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P7,1,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P12,1,0.0232,0.0045,0.0137,0.1186,0.0048,0.0354,0.001,0.0135,0.0001,0.3927,0.0755,0.0145,0.3657,0.0031,0.0024,0.0007,0.0014,0,0.0441,0.0028,0.0008,0
P15,1,0.0031,0.0082,0.0343,0.034,0.0002,0.01,0,0.0018,0.0002,0.0248,0.0005,0.0022,0.5095,0.0009,0.0013,0.0003,0.0016,0,0.0368,0.0029,0.0012,0.0012
P16,1,0.0024,0.0049,0.0275,0.0095,0.0001,0.0145,0.0015,0.0005,0.003,0.0052,0.0001,0.0013,0.3159,0.0009,0.0007,0.0002,0.0013,0,0.039,0.0028,0.002,0.0001
P17,1,0.023,0.0029,0.0196,0.0783,0.0084,0.0412,0.0002,0.0224,0,0.4692,0.1352,0.0307,0.5743,0.0137,0.0007,0.001,0.0017,0,0.0489,0.0037,0.0007,0
P19,1,0.02,0.0051,0.0028,0.0612,0.0053,0.0088,0.0006,0.0149,0.0001,0.5103,0.0438,0.0124,0.0011,0.0032,0.002,0.0009,0.0015,0,0.0155,0.0013,0.0008,0.005
P21,1,0.043,0.0071,0.0103,0.0947,0.0065,0.0134,0.0005,0.0227,0,0.3282,0.5847,0.0358,0.0026,0.0091,0.0015,0.0022,0.0039,0,0.1989,0.0076,0.0022,0
P22,1,0.1846,0.0079,0.0001,0.2387,0.0313,0,0.0012,0.0907,0.0003,0.1337,0.0857,0.0193,0.0005,0.016,0.0006,0.0004,0.0021,0,0.0594,0.0041,0.0024,0.002
P24,1,0.0514,0.0041,0,0.0823,0.0074,0.0171,0.0005,0.0234,0,0.1852,0.299,0.0359,0.0001,0.0125,0.0011,0.0013,0.0024,0,0.0847,0.0046,0.0009,0
P26,1,0.0042,0.0043,0.0519,0.069,0.0005,0.0022,0,0.0026,0,0.5963,0.01,0.0137,2.5774,0.0014,0.0012,0.001,0.002,0,0.0307,0.0026,0.0024,0.0006
