label,treatment,xylulose_NIST,valine,uridine_5_monophosphate,urea,uracil,UDP_N_acetylglucosamine,UDP_glucuronic acid,tyrosine,tryptophan,thymine,thymidine_5_phosphate,thymidine,threonine,succinic_acid,stearic_acid,spermidine,serine,ribose_5_phosphate,ribose,pyrophosphate ,putrescine,propane_1_3_diol_NIST,proline,phosphoethanolamine,phosphoenolpyruvate,phosphate,phenylalanine,pentadecanoic_AE1acid,pelargonic_acid,palmitoleic acid,palmiticacid,oxoproline,oroticacid,ornithine,oleicacid,O_acetylserine,N_methylalanine,nicotinicacid,nicotinamide,N_acetyl_L_ornithine,N_acetylgalactosamine,myristicacid,methionine,mannose_6_phosphateNIST,malicacid,lysine,levoglucosan,lauricacid,lacticacid,isoleucine,inosine_5_monophosphate,inosine,hypoxanthine,hydroxylamine,hexose_6_phosphate ,hexoseNIST,heptadecanoicacid,guanosine,guanine,glycolicacid,glycine,glycerol_alpha_phosphate,glycericacid,glutathione,glutamine,glutamicacid,glucose_6_phosphate ,glucose_1_phosphate,glucose,fumaricacid,fructose_6_phosphate ,fructose_1_phosphate,fructose_1_6_bisphosphate ,fructose,cytosin,cytidine_5_monophosphate ,cysteine_glycine,cysteine,citric_acid,cholesterol,beta_alanine,benzoic_acid,aspartic_acid,alpha_ketoglutarate,alanine_alanine,alanine,adenosine_5_monophosphate,adenosine,adenine,3_phosphoglycerate,2_isopropylmalic acid,2_hydroxyhexanoic acid,2_hydroxyglutaric acid,2_deoxyguanosine, 2_5_dihydroxypyrazine_NIST,111670,110202,109923,108309,108307,106441,105164,104788,103870,103690,103102,102616,99881,89383,88583,87282,85608,84565,84563,84088,66311,48419,47170,44230,42445,33387,32593,25321,22863,21683,21665,21664,18588,18266,18173,18082,17651,5576,5346,4609,3781,3228,3122,2788,2438,2242,2233,1981,1912,1878,1875,1872,1870,1862,1832,1805,1753,1719,1704,1700,1661,1064,1029,892,657,462,443,257,168,137,134,99,62,47,39
W1,WILD,299,362482,9902,45,10671,164,825,4487,809,4893,1086,373,5456,9524,25854,513,1075,266,2466,74831,172657,994,15119,1843,942,167483,1645,631,4621,927,5805,101325,507,949,432,119,676,921,190,388,285,3665,205,23655,10962,781,312,1138,2866,4596,1070,1475,5076,1747,1156,2338,1121,833,1554,1111,4382,4995,1412,261,728,168294,4802,807,15806,1641,1967,629,1261,446,434,612,1992,55,919,169,176,1542,7073,101,556,333649,18089,774,1018,7345,279,83,772,159,6074,556,209,589,424,424,3951,459,725,684,327,599,671,12295,1078,5991,1245,285,413,2583,755,271,1123,185,1310,425,420,586,1219,172,334,1086,1433,14861,217,8751,795,116,11756,1753,251,144,269,6143,1200,597,1792,872,321,614,1901,1901,2368,1077,6947,194,580,888,293,333,563,561,1679,3708,1435,391,234,1125,942,1644,1146,38248,870,2744,4645,1257
W2,WILD,406,462815,12152,81,16450,354,1089,6607,1599,4692,1171,521,8156,13339,31293,1324,1592,358,2863,102369,345034,1157,19868,4693,1503,225204,1863,1103,6094,1349,7145,134343,556,1610,607,149,785,1550,405,473,459,3806,610,27972,14565,1586,374,1556,5120,8004,1714,1473,7719,2657,1219,4485,1087,1080,2657,1178,5501,5833,1837,319,859,272716,5753,1018,41134,6746,2273,658,1915,373,328,743,2909,130,1175,249,222,1277,9125,94,881,447334,27516,967,1716,10104,349,105,1739,141,10956,660,403,683,527,652,5505,598,768,741,362,835,1044,17800,1194,7040,1799,483,565,3155,1293,343,1236,374,1857,552,399,483,357,225,538,1397,1718,25757,383,11070,1188,249,13432,2342,547,102,442,13231,1756,784,2750,1130,501,738,2271,2060,2882,1346,10297,334,847,945,441,517,551,849,1783,4334,1378,698,271,1324,1361,1245,1927,24431,2473,3342,5730,1570
W3,WILD,322,413716,8308,1544,11488,352,891,4638,1091,5687,1522,479,7069,11315,98887,3573,1882,240,2608,87921,271552,1220,16843,3659,1322,195342,1535,782,7399,1087,13510,154497,713,1519,582,61,634,1351,439,1740,231,5683,374,17737,8344,1318,457,1791,7839,6414,1375,980,6156,3271,1033,1886,2104,872,2394,807,4758,5699,1970,2078,1184,253073,5399,1001,6405,3428,2115,581,2193,284,403,862,3412,93,1266,204,121,1186,9930,116,2773,309856,21903,974,1726,8197,258,118,617,162,7972,638,235,753,384,775,3694,520,820,648,426,739,830,15055,1449,6816,1391,119,555,5208,706,261,1291,417,1385,323,34,594,165,822,439,1489,1823,15364,409,2211,897,29,12850,2345,187,122,514,2419,1643,525,5207,587,434,956,2292,2181,2836,1257,10126,195,532,937,209,673,526,698,2609,4209,776,480,271,1183,1308,335,1434,4834,540,3366,5801,1462
W4,WILD,479,554406,17020,2350,15978,334,1099,10806,2562,2623,566,403,9137,14538,132534,1360,1818,120,2544,91305,329608,1272,40753,2750,1853,224735,1758,1093,4445,1177,17433,145620,449,3669,551,230,950,1027,1232,1498,188,6037,1209,18422,11596,3677,265,1258,6364,9142,1581,1191,7766,2401,1196,929,1634,1182,3364,1112,5019,3689,2638,187,7590,416983,5606,792,18083,5686,2283,860,4166,277,198,540,5634,264,1298,226,171,1351,20832,112,23197,437188,29523,1125,2941,11862,421,141,1238,225,11338,693,370,583,508,627,3112,620,420,840,411,910,910,17592,1333,7623,1823,903,629,1868,957,402,1071,451,2100,238,279,363,269,1982,639,1442,1892,48336,734,5318,1008,179,14866,2587,356,162,538,6965,1126,452,5306,1096,483,1069,2973,2583,3365,909,10906,218,982,587,451,593,507,826,2420,4688,1237,602,251,1331,1335,783,1444,12311,978,3540,6436,1812
W5,WILD,238,390893,10314,83,13015,303,851,6435,1046,3329,684,222,7492,12106,104507,839,3455,199,352,66821,261989,1206,19795,2099,1302,191505,1607,1192,4140,1098,15632,122303,1406,2450,461,113,689,1115,568,1827,256,5035,425,17748,12814,2932,322,1130,9620,6526,1529,900,6034,2009,1000,3159,1652,760,2132,1376,7480,3857,1765,1336,2282,301152,4691,982,21597,5788,1839,656,3786,272,232,513,2941,87,1158,268,117,1478,11994,99,3248,322566,19570,1072,2206,7743,301,89,1159,199,7990,633,281,692,367,736,2354,608,734,727,468,735,849,14370,1525,6795,1452,140,507,4258,996,307,1301,316,1506,277,569,503,217,383,438,1531,1936,17131,184,4751,887,206,13951,2468,426,117,583,7391,992,516,3653,841,413,899,2337,2555,3137,1191,10358,210,704,794,435,753,470,521,2391,4362,746,453,369,1232,1154,351,1521,6825,1040,3420,5651,1650
W6,WILD,329,463401,8038,89,11961,377,1060,5368,1565,5545,1470,398,8898,12233,146594,741,2108,266,1876,107510,275956,1148,22092,5729,1551,208181,1786,992,3548,1124,18204,174488,535,1865,183,118,666,1415,414,2078,148,5970,490,21136,13334,2056,548,1397,7321,7969,1282,864,5435,3585,1071,2879,2325,889,3008,1030,5978,7127,1709,2700,1566,289821,4893,1339,21372,5866,1904,563,1750,156,345,880,2860,104,1337,299,201,1380,10988,132,2535,365730,23178,893,2013,9851,392,92,1029,121,12043,620,274,756,411,946,4595,614,722,643,521,883,967,18108,1240,6941,1552,172,746,5698,916,232,1093,561,1440,366,583,811,243,594,400,1609,1980,14674,404,7630,926,200,12958,2767,233,190,398,7793,2008,630,6246,910,473,1201,2651,2518,3271,1301,10347,250,752,1049,191,959,579,642,2178,4395,2901,518,213,1240,1300,439,1910,8651,1354,3265,6111,1712
SK1,ONE_KO,74,228872,3388,1331,6566,156,313,2239,1026,1252,244,201,3529,5068,34331,299,1358,78,956,28006,92437,812,9471,384,1148,92684,682,375,2526,458,5845,43194,122,550,132,256,493,363,369,176,83,2432,402,1271,4659,535,183,422,4490,5229,1139,626,2821,1443,157,155,553,407,893,567,2652,1486,1891,344,712,68034,681,303,288,4191,232,133,513,156,157,197,648,69,201,155,192,854,7907,56,992,138789,9783,400,571,5139,268,273,629,129,3130,360,423,222,266,313,1300,372,159,139,251,429,582,9683,743,4426,339,108,127,1205,295,158,924,225,1011,198,451,638,96,1802,209,784,1035,7558,244,2459,668,107,9093,1404,78,83,356,102,283,198,947,251,966,555,1605,1450,2068,657,6833,411,394,304,125,259,358,1574,2133,2846,691,268,200,847,725,110,878,1498,81,2366,3664,1001
SK2,ONE_KO,488,535368,11828,147,15961,318,1241,6611,3131,5250,1267,522,10639,15482,38511,1111,3453,372,3251,96599,396497,1032,20684,5741,3171,217824,2323,587,4009,1188,7958,125988,325,1787,401,397,1159,1587,483,355,264,3941,640,13792,15233,1839,412,1361,11898,13887,3751,1159,8140,3162,682,562,1048,1088,3320,1730,7243,6851,3950,359,827,193206,3665,1030,6982,4597,1291,399,1508,365,227,787,3439,182,640,168,378,1455,3024,100,1007,326451,28833,1144,2410,14390,1402,287,11110,171,11687,841,1327,655,573,1016,5553,649,781,367,457,741,910,19101,1515,7535,685,435,549,3113,2336,395,1182,373,2096,631,660,2413,542,599,573,1308,1869,29107,480,3636,1058,218,14506,2635,264,139,438,4624,793,870,2301,1039,3406,724,2499,2444,3203,953,11113,2246,1239,1005,722,688,607,6711,2778,4765,910,572,422,800,1265,335,1555,5161,542,3761,6856,1906
SK3,ONE_KO,98,488176,13385,712,11776,198,973,7156,3510,2532,603,241,8269,14999,83091,753,3667,332,2408,81316,238874,1369,20427,3985,2991,212812,1531,589,4907,1217,12598,116873,527,2756,139,439,868,1277,1195,1070,177,4578,1110,3916,15453,2486,639,1172,18387,10935,2882,1144,7848,2885,445,382,1101,1054,2492,1087,5711,4616,4656,179,4182,182780,2244,890,750,6431,895,404,1564,229,35,552,5047,416,577,384,343,1277,17591,231,18229,289822,25822,1690,3357,14308,1126,516,5763,275,11018,677,1140,754,397,1088,3549,457,806,613,354,882,811,15301,1550,7063,470,750,719,1329,1121,274,1165,300,1951,315,362,1031,346,2183,599,1266,1764,35033,603,685,969,206,14163,2445,95,55,390,400,568,732,2494,923,2608,940,2445,2347,3126,1094,10473,1272,1234,511,560,828,499,4567,1783,3972,633,636,302,1359,1233,789,1321,8756,94,3425,5620,1698
SK4,ONE_KO,344,487105,14778,3244,14738,261,1075,8203,3519,2788,574,520,9493,16077,79942,717,3269,212,2578,82567,219288,1321,20236,2609,4063,191794,1792,804,3628,1041,12921,117853,251,2091,376,199,978,1252,1164,545,127,4524,1085,2012,14387,2629,265,891,11602,11567,2329,1188,7754,2990,433,211,1052,1140,2886,485,5875,3553,5421,280,4365,193981,2235,710,342,6378,872,323,1272,124,343,530,4640,329,687,255,353,1251,33539,286,14079,298723,27710,1419,2793,17344,1084,383,3749,248,10025,655,891,119,333,1129,3543,594,876,564,403,803,928,16289,1341,7337,576,720,523,1651,1284,224,1294,316,2047,328,421,1077,310,2236,616,1457,1793,32845,619,2485,1325,244,15281,2573,105,75,608,141,586,539,2752,645,2553,985,2872,2560,3538,1541,11565,1071,1492,864,389,668,538,4047,1052,4986,1311,345,257,558,1316,651,1685,12406,143,3799,6523,1652
